event,frame,pre,post,diff,r,sig
Paris Agreement,economic,1.611,1.562,-0.049,-0.028,
Paris Agreement,moral,1.23,1.193,-0.037,-0.033,
Paris Agreement,scientific,1.862,1.89,0.027,0.017,
Paris Agreement,security,1.088,1.093,0.005,0.006,
Paris Agreement,health_environment,1.753,1.859,0.106,0.08,
Paris Agreement,crisis_urgency,1.191,1.162,-0.029,-0.03,
Paris Agreement,weaponization,1.276,1.241,-0.034,-0.034,
2019 nitrogen ruling,economic,1.602,1.626,0.024,0.011,
2019 nitrogen ruling,moral,1.34,1.284,-0.055,-0.041,
2019 nitrogen ruling,scientific,1.902,1.962,0.06,0.038,
2019 nitrogen ruling,security,1.035,1.021,-0.014,-0.009,
2019 nitrogen ruling,health_environment,1.954,1.988,0.034,0.018,
2019 nitrogen ruling,crisis_urgency,1.238,1.277,0.04,0.038,
2019 nitrogen ruling,weaponization,1.327,1.424,0.097,0.06,*
IPCC AR6,economic,1.643,1.762,0.12,0.064,*
IPCC AR6,moral,1.292,1.341,0.049,0.038,
IPCC AR6,scientific,2.024,2.05,0.026,0.012,
IPCC AR6,security,1.043,1.197,0.153,0.079,***
IPCC AR6,health_environment,1.961,1.852,-0.11,-0.076,*
IPCC AR6,crisis_urgency,1.312,1.306,-0.006,0.004,
IPCC AR6,weaponization,1.413,1.514,0.101,0.07,*
Russia-Ukraine,economic,1.718,1.786,0.067,0.049,
Russia-Ukraine,moral,1.309,1.351,0.042,0.033,
Russia-Ukraine,scientific,2.122,1.957,-0.165,-0.113,***
Russia-Ukraine,security,1.086,1.163,0.077,0.04,**
Russia-Ukraine,health_environment,1.874,1.827,-0.047,-0.032,
Russia-Ukraine,crisis_urgency,1.294,1.341,0.047,0.038,
Russia-Ukraine,weaponization,1.49,1.513,0.023,0.027,
