event,year,frame,pre,post,diff
Paris Agreement,2015,economic,1.602,1.592,-0.01
Paris Agreement,2015,moral,1.174,1.267,0.093
Paris Agreement,2015,scientific,1.75,1.874,0.123
Paris Agreement,2015,security,1.056,1.077,0.021
Paris Agreement,2015,health_environment,1.82,1.778,-0.041
Paris Agreement,2015,crisis_urgency,1.125,1.247,0.121
Paris Agreement,2015,weaponization,1.321,1.354,0.032
Urgenda ruling,2019,economic,1.543,1.645,0.102
Urgenda ruling,2019,moral,1.192,1.291,0.099
Urgenda ruling,2019,scientific,1.738,1.942,0.205
Urgenda ruling,2019,security,1.056,1.086,0.03
Urgenda ruling,2019,health_environment,1.761,1.816,0.056
Urgenda ruling,2019,crisis_urgency,1.148,1.281,0.133
Urgenda ruling,2019,weaponization,1.278,1.411,0.133
IPCC AR6,2021,economic,1.533,1.699,0.166
IPCC AR6,2021,moral,1.207,1.304,0.097
IPCC AR6,2021,scientific,1.757,1.987,0.23
IPCC AR6,2021,security,1.049,1.11,0.061
IPCC AR6,2021,health_environment,1.783,1.8,0.017
IPCC AR6,2021,crisis_urgency,1.166,1.299,0.133
IPCC AR6,2021,weaponization,1.286,1.446,0.16
Russia-Ukraine,2022,economic,1.544,1.717,0.173
Russia-Ukraine,2022,moral,1.216,1.308,0.092
Russia-Ukraine,2022,scientific,1.785,1.978,0.193
Russia-Ukraine,2022,security,1.05,1.123,0.073
Russia-Ukraine,2022,health_environment,1.789,1.79,0.001
Russia-Ukraine,2022,crisis_urgency,1.178,1.307,0.129
Russia-Ukraine,2022,weaponization,1.302,1.451,0.149
