year,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
2008,1.779,1.195,1.956,1.106,1.876,1.221,1.416
2009,1.788,1.236,1.909,1.087,1.99,1.212,1.361
2010,1.671,1.174,1.819,1.032,1.987,1.142,1.465
2011,1.675,1.228,1.982,1.053,2.05,1.136,1.331
2012,1.763,1.199,1.839,1.032,1.925,1.14,1.306
2013,1.642,1.207,1.856,1.013,1.97,1.087,1.395
2014,1.719,1.169,1.795,1.157,1.876,1.157,1.418
2015,1.621,1.225,1.85,1.1,1.686,1.179,1.275
2016,1.563,1.192,1.868,1.093,1.871,1.169,1.242
2017,1.498,1.271,1.968,1.06,1.921,1.221,1.303
2018,1.643,1.316,1.859,1.041,1.876,1.246,1.31
2019,1.569,1.307,1.971,1.02,2.035,1.268,1.399
2020,1.645,1.274,1.908,1.039,1.902,1.26,1.394
2021,1.702,1.318,2.13,1.076,1.926,1.298,1.49
2022,1.793,1.344,1.958,1.164,1.804,1.336,1.5
2023,1.658,1.333,2.068,1.101,1.905,1.292,1.472
2024,1.799,1.362,2.174,1.08,1.92,1.34,1.536
2025,1.911,1.223,2.12,1.175,1.753,1.339,1.493
