party,rank,term,score
BBB,1,chronisch,0.0484
BBB,2,gezond verstand,0.0459
BBB,3,verstand,0.0459
BBB,4,stikstoffonds,0.0409
BBB,5,voedselproducent,0.0409
BBB,6,energieplafond,0.0409
BBB,7,zeven actieprogramma,0.0401
BBB,8,student,0.0388
BBB,9,kersenteler,0.0388
BBB,10,gezond voedsel,0.0388
BBB,11,bakker,0.0388
BBB,12,pasmelder,0.0363
BBB,13,piekbelaster,0.0363
BBB,14,zeven,0.036
BBB,15,landbouwakkoord,0.0358
BBB,16,afvalverwerking,0.0358
BBB,17,voedsel,0.0355
BBB,18,actieprogramma,0.0351
BBB,19,verordening,0.0346
BBB,20,vruchtbaar,0.0345
CDA,1,beheerplann,0.028
CDA,2,energiecoöperatie,0.0279
CDA,3,afvalwaterinjectie,0.026
CDA,4,ledverlichting,0.0258
CDA,5,kennisinstelling,0.0258
CDA,6,aalbeheerplan,0.0255
CDA,7,bedrijfsniveau,0.0249
CDA,8,duurzaam energieproject,0.0249
CDA,9,waterstofproductie,0.0249
CDA,10,teelt,0.0246
CDA,11,energiefonds,0.0246
CDA,12,medicijnrest,0.0246
CDA,13,polder,0.0246
CDA,14,bodemverbeteraars,0.0246
CDA,15,microplastics cosmetica,0.0246
CDA,16,onderzoeksprogramma,0.0246
CDA,17,energieproject,0.0245
CDA,18,veredelingstechnie,0.0242
CDA,19,instandhoudingsdoelstelling,0.0242
CDA,20,gewas,0.0242
D66,1,stortplaats,0.0331
D66,2,milieucriminaliteit,0.0323
D66,3,diepzeemijnbouw,0.0304
D66,4,kennisinstelling,0.0292
D66,5,kolenbelasting,0.0292
D66,6,kweekvlees,0.0283
D66,7,gebiedsplann,0.0282
D66,8,milieudelict,0.028
D66,9,europees,0.0274
D66,10,ecologisch hoofdstructuur,0.0271
D66,11,duurzaamheidscriteria,0.0269
D66,12,prestatie,0.0266
D66,13,generatie biobrandstof,0.0266
D66,14,laadpunt,0.0265
D66,15,hoofddoelstelling,0.0265
D66,16,plastic korrel,0.0265
D66,17,methaanuitstoot,0.0265
D66,18,drankverpakking,0.0265
D66,19,textiel,0.0263
D66,20,transitie kringlooplandbouw,0.0256
FvD,1,windturbineparken,0.1018
FvD,2,houdbaar alternatief,0.0931
FvD,3,klimaattafel,0.0847
FvD,4,maatregel stikstofuitstoot,0.0819
FvD,5,rekenafstand,0.0819
FvD,6,empirisch,0.0814
FvD,7,elektriciteitsprijs,0.0814
FvD,8,talloos,0.0814
FvD,9,overeenkomst,0.0761
FvD,10,opwarming,0.0726
FvD,11,kritisch depositiewaarde,0.0726
FvD,12,depositiewaarde,0.0726
FvD,13,optimistisch,0.0716
FvD,14,miljoen woning,0.0716
FvD,15,modelmatig,0.0716
FvD,16,stroomnet,0.0711
FvD,17,pijpleiding,0.066
FvD,18,klimaatberaad,0.066
FvD,19,gasopslag maximaal,0.066
FvD,20,ernstig schending,0.066
GroenLinks,1,ultrafijnstof,0.0292
GroenLinks,2,roetfilter,0.0283
GroenLinks,3,blootstelling,0.0276
GroenLinks,4,emissienorm,0.0274
GroenLinks,5,milieucriminaliteit,0.0273
GroenLinks,6,hormoonverstorend,0.0267
GroenLinks,7,palmolie,0.0266
GroenLinks,8,fossieel energie,0.0266
GroenLinks,9,schaliegas,0.0263
GroenLinks,10,gebruik glyfosaat,0.0263
GroenLinks,11,maatwerkafspraak,0.0255
GroenLinks,12,financieel steun,0.0255
GroenLinks,13,reductieopgave,0.0252
GroenLinks,14,weidevogelbeheer,0.0252
GroenLinks,15,ontginning,0.0252
GroenLinks,16,landbouwgif,0.0252
GroenLinks,17,personeel,0.0248
GroenLinks,18,europees,0.0244
GroenLinks,19,glyfosaat,0.024
GroenLinks,20,sector verkeer,0.024
GroenLinks-PvdA,1,schoon technologie,0.0555
GroenLinks-PvdA,2,coöperatief,0.052
GroenLinks-PvdA,3,cruciaal klimaatdoe,0.0508
GroenLinks-PvdA,4,verschillend regio,0.0508
GroenLinks-PvdA,5,fossieel subsidie,0.0498
GroenLinks-PvdA,6,lozing,0.0489
GroenLinks-PvdA,7,energiecoöperatie,0.0487
GroenLinks-PvdA,8,tender,0.0462
GroenLinks-PvdA,9,europees,0.0458
GroenLinks-PvdA,10,concreet afbouwpad,0.0446
GroenLinks-PvdA,11,power,0.0446
GroenLinks-PvdA,12,internationaal fossieel,0.0446
GroenLinks-PvdA,13,warmtegemeenschappen,0.0446
GroenLinks-PvdA,14,plasticafdracht,0.0446
GroenLinks-PvdA,15,etsprijs,0.0446
GroenLinks-PvdA,16,recreatieondernemer,0.0446
GroenLinks-PvdA,17,parlementair enquête,0.0444
GroenLinks-PvdA,18,reclame,0.0432
GroenLinks-PvdA,19,energieproject,0.0432
GroenLinks-PvdA,20,bedrijf,0.0421
PVV,1,energietoeslag,0.0639
PVV,2,kilowattuur,0.0578
PVV,3,volumegrens,0.0553
PVV,4,lastenverlichting burger,0.0524
PVV,5,polder,0.0524
PVV,6,energie burger,0.0524
PVV,7,gasaansluitplicht,0.0506
PVV,8,zeeuws,0.0506
PVV,9,ontpoldering,0.0495
PVV,10,vochtig,0.049
PVV,11,corporatiewoning,0.049
PVV,12,opslag duurzaam,0.0482
PVV,13,windturbine,0.0469
PVV,14,fosfaatrechtenstelsel,0.0457
PVV,15,lastenverzwaring,0.045
PVV,16,recreatief sector,0.0448
PVV,17,onzinnig,0.0448
PVV,18,accijnsverhoging,0.0448
PVV,19,shredder,0.0448
PVV,20,energietoeslag gemeente,0.0448
PvdA,1,herverkaveling,0.0436
PvdA,2,prikkeldraad,0.0413
PvdA,3,pakkans,0.0399
PvdA,4,uitrijperiode,0.0386
PvdA,5,veiligstelling,0.0386
PvdA,6,imker,0.0386
PvdA,7,school gevoelig,0.0386
PvdA,8,verbetering kwaliteit,0.0353
PvdA,9,duurzaam veiligstelling,0.0353
PvdA,10,overheid verantwoordelijk,0.0353
PvdA,11,watercrassula,0.0353
PvdA,12,miljoen kubiek,0.0353
PvdA,13,turbine,0.0353
PvdA,14,meetmethoid,0.0353
PvdA,15,duurzaam,0.0347
PvdA,16,natuur,0.0342
PvdA,17,gevoelig bestemming,0.0342
PvdA,18,ladder,0.0339
PvdA,19,initiatiefnemer,0.0339
PvdA,20,molen,0.0338
PvdD,1,houtig biomassa,0.0426
PvdD,2,houtig,0.0426
PvdD,3,hormoonverstorend,0.0343
PvdD,4,diertransporot,0.0341
PvdD,5,vleesconsumptie,0.033
PvdD,6,importverbod,0.0317
PvdD,7,dierenleed,0.0311
PvdD,8,ballonn,0.031
PvdD,9,krimp veestapel,0.031
PvdD,10,krimp,0.0307
PvdD,11,melkproductie,0.0303
PvdD,12,granuliet,0.0303
PvdD,13,intrinsiek,0.0303
PvdD,14,intrinsiek waarde,0.0303
PvdD,15,teelt,0.0296
PvdD,16,luchtwasser,0.0294
PvdD,17,teerzandolie,0.0294
PvdD,18,aarde maximaal,0.0294
PvdD,19,ontbossingsverordening,0.0294
PvdD,20,mestproductie,0.0294
VVD,1,bestaand gebruik,0.0613
VVD,2,amsterdams,0.0561
VVD,3,kwaliteitseis,0.0524
VVD,4,mosselsector,0.0524
VVD,5,omgevingswaarid,0.0518
VVD,6,beheerplann,0.0491
VVD,7,huiseigenaar,0.0481
VVD,8,laadpunt,0.048
VVD,9,decentraal omgevingswaarid,0.048
VVD,10,biokerosine,0.048
VVD,11,energielabel gemiddeld,0.048
VVD,12,aardmetalen,0.048
VVD,13,systeemkost,0.048
VVD,14,kernenergie,0.046
VVD,15,europees,0.0439
VVD,16,biotechnologisch,0.0422
VVD,17,rechtspersoon,0.0422
VVD,18,rijks monument,0.0422
VVD,19,ruimtelijk beleid,0.0422
VVD,20,rijks,0.0422
